 knee_pos_x, knee_pos_y, time
6.06384,49.05702,0.06667
6.05006,49.08011,0.16513
6.02276,49.06603,0.26375
5.99314,49.06181,0.36189
5.98191,49.06054,0.45956
5.97443,49.06016,0.55808
5.96957,49.06005,0.65703
5.96962,49.08101,0.75537
5.99410,49.06630,0.85374
6.08736,48.99889,0.95206
6.26878,48.81067,1.05040
6.40428,48.88720,1.14829
6.54298,48.82616,1.24663
6.67030,48.80785,1.34495
6.75139,48.80235,1.44293
6.77122,48.80771,1.54222
6.75093,48.78131,1.64067
6.72438,48.80139,1.73877
6.71364,48.80742,1.83738
6.71667,48.80923,1.93506
6.71156,48.80977,2.03365
6.68193,48.80293,2.13174
6.59785,48.80088,2.23005
6.48693,48.88426,2.33135
6.43500,48.92328,2.42942
6.45052,48.92098,2.52786
6.50794,48.86430,2.62636
6.56827,48.81929,2.72472
6.60030,48.80579,2.82289
6.60745,48.80174,2.92105
6.60657,48.80752,3.01958
6.61784,48.80226,3.11800
6.63297,48.80768,3.21628
6.65316,48.80230,3.31463
6.66297,48.80069,3.41359
6.67278,48.80021,3.51166
6.66840,48.80006,3.61011
6.63561,48.80002,3.70844
6.54882,48.80701,3.80678
6.43908,48.84410,3.90515
6.32002,48.70123,4.00355
6.23727,48.79837,4.10174
6.22743,48.77851,4.20021
6.20800,48.80055,4.29807
6.16506,48.89817,4.39701
6.13229,48.98345,4.49543
6.12344,49.00903,4.59278
6.12272,49.00271,4.69205
6.11555,49.01481,4.78981
6.11936,49.00444,4.88876
6.14039,48.95933,4.98710
6.16554,48.89680,5.08536
6.17219,48.89204,5.18569
6.19728,48.83461,5.28422
6.24136,48.71938,5.38258
6.24433,48.69882,5.48075
6.21300,48.77664,5.57934
6.18071,48.87699,5.67764
6.17575,48.88610,5.77599
6.17860,48.87483,5.87438
6.17107,48.88545,5.97262
6.17080,48.88863,6.07071
6.17199,48.91059,6.16963
6.15713,48.91718,6.26792
6.11387,49.01015,6.36638
6.08912,49.03805,6.46447
6.13333,48.96941,6.56314
6.22624,48.75982,6.66164
6.27262,48.64095,6.76017
6.29778,48.58428,6.85834
6.31052,48.56729,6.95674
6.30827,48.56219,7.05496
6.29528,48.59566,7.15335
6.27129,48.64770,7.25183
6.25728,48.69831,7.35007
6.25977,48.67849,7.44768
6.25915,48.68655,7.54560
6.27307,48.65396,7.64518
6.31504,48.64419,7.74361
6.35578,48.76026,7.84172
6.39969,48.87208,7.94014
6.43965,48.90562,8.04050
6.46237,48.87369,8.13932
6.47505,48.88511,8.23732
6.49274,48.86753,8.33566
6.51906,48.84826,8.43404
6.54355,48.84248,8.53246
6.56790,48.81974,8.63073
6.58197,48.80592,8.72933
6.59249,48.80178,8.82742
6.59705,48.80053,8.92590
6.60208,48.80016,9.02415
6.61058,48.77905,9.12242
6.62200,48.79371,9.22098
6.62397,48.77711,9.31926
6.62365,48.77213,9.41785
6.61530,48.79164,9.51627
