 knee_pos_x, knee_pos_y, time
3.99108,48.60952,0.01957
3.99008,48.66586,0.10645
3.99021,48.68976,0.20449
3.97908,48.68993,0.30300
3.97254,48.68998,0.40169
3.97369,48.68999,0.49995
3.98431,48.64100,0.59839
3.98086,48.57730,0.69673
3.95992,48.60019,0.79509
3.92574,48.60706,0.89340
3.83674,48.67212,0.99198
3.75314,48.80364,1.09043
3.62481,48.86409,1.18889
3.51800,48.80523,1.28703
3.48324,48.80857,1.38550
3.47426,48.78857,1.48380
3.46067,48.77557,1.58219
3.44010,48.74367,1.68052
3.43018,48.71310,1.77828
3.42836,48.69693,1.87926
3.41624,48.64308,1.97786
3.41031,48.62692,2.07576
3.42250,48.67808,2.17485
3.48580,48.80542,2.27308
3.59540,48.86463,2.37144
3.65755,48.80539,2.46987
3.81620,48.72462,2.56814
3.95245,48.60238,2.66656
4.04106,48.68472,2.76415
4.10713,48.73041,2.86245
4.19655,48.68812,2.96148
4.28773,48.71044,3.05947
4.31464,48.73813,3.15764
4.31395,48.76044,3.25600
4.32877,48.81613,3.35482
4.33271,48.85384,3.45327
4.33469,48.84415,3.55160
4.33473,48.86225,3.65005
4.33331,48.86767,3.74800
4.33387,48.84830,3.84642
4.33802,48.87749,3.94482
4.33824,48.85125,4.04344
4.34263,48.86437,4.14187
4.37510,48.90331,4.24021
4.48992,49.01299,4.33859
4.57113,49.06690,4.43691
4.57109,49.06207,4.53778
4.56607,49.05362,4.63606
4.55552,49.03009,4.73444
4.54819,49.02303,4.83244
4.54665,49.04191,4.93120
4.53709,49.04757,5.02892
4.47536,48.95827,5.12784
4.37418,48.86848,5.22632
4.33325,48.78554,5.32466
4.26151,48.73966,5.42289
4.19961,48.71190,5.52135
4.14879,48.70357,5.61968
4.09517,48.60307,5.71723
4.03554,48.58692,5.81559
3.94813,48.66608,5.91462
3.88044,48.74582,6.01303
3.87353,48.79075,6.11075
3.86414,48.77622,6.20940
3.86151,48.77887,6.30806
3.85806,48.77266,6.40604
3.84952,48.77780,6.50479
3.84559,48.81434,6.60313
3.85112,48.81130,6.70110
3.89969,48.72639,6.80008
