 knee_pos_x, knee_pos_y, time
3.77792,48.97606,0.01803
3.77472,48.97182,0.10305
3.78064,48.93555,0.19983
3.78405,48.92466,0.29853
3.76555,48.90040,0.39776
3.78268,48.89312,0.49575
3.80849,48.92594,0.59417
3.81763,48.86578,0.69274
3.81976,48.59573,0.79107
3.82876,48.16472,0.88800
3.83799,47.93742,0.98633
3.83947,47.77122,1.08585
3.84885,47.56037,1.18664
3.85061,47.56011,1.28508
3.85824,47.53903,1.38331
3.84978,47.57471,1.48167
3.85075,47.58541,1.57946
3.85232,47.58862,1.67779
3.85150,47.58959,1.77639
3.84580,47.61788,1.87499
3.84524,47.59836,1.97339
3.84123,47.46651,2.07182
3.84289,47.19595,2.17024
3.84542,47.13579,2.26868
3.84688,47.05474,2.36694
3.83390,47.11442,2.46537
3.83766,47.04833,2.56377
3.83229,47.07050,2.66189
3.83585,47.00715,2.76044
3.82790,47.03714,2.85869
3.82455,46.99714,2.95713
3.81802,46.90114,3.05549
3.83757,47.13134,3.15387
3.82982,47.97040,3.25163
3.79682,48.90112,3.35055
3.76778,49.39734,3.44898
3.74496,49.62320,3.54725
3.75080,49.69096,3.64578
3.75300,49.75329,3.74614
3.75021,49.77199,3.84107
3.75588,49.81960,3.94298
3.75463,49.82688,4.04151
3.74615,49.67506,4.13976
3.74649,48.97152,4.23811
3.75934,47.96246,4.33646
3.77747,47.15574,4.43484
3.78731,46.57772,4.53254
3.80503,46.18732,4.63093
3.81254,46.07019,4.72977
3.80251,46.03506,4.82827
3.79754,45.94752,4.92651
3.80450,45.90026,5.02487
3.80082,45.92808,5.12330
3.80198,45.96442,5.22167
3.81477,46.16433,5.32017
3.83355,46.46230,5.41863
3.85376,46.64269,5.51681
3.86492,47.10981,5.61530
3.86653,47.57194,5.71348
3.85173,47.95558,5.81197
3.83159,48.09867,5.91034
3.82661,48.08560,6.00813
3.82772,48.08168,6.10702
3.82834,48.08050,6.20539
3.83038,48.10815,6.30370
3.82894,48.06745,6.40218
3.83301,48.03423,6.50030
3.83947,48.07327,6.59837
3.83678,48.52598,6.69904
3.80510,49.19379,6.79738
3.78732,49.71614,6.89604
3.76449,49.97084,6.99460
3.74891,50.01225,7.09299
3.75704,50.06668,7.19131
3.76654,50.13200,7.28994
3.76606,50.13760,7.38740
3.75805,50.02028,7.48571
3.75958,49.41808,7.58411
3.74956,48.78943,7.68297
