 knee_pos_x, knee_pos_y, time
3.69608,49.92631,0.08418
3.69646,49.92189,0.18242
3.69401,49.94157,0.27989
3.69039,49.94747,0.37931
3.69290,49.92824,0.47767
3.71178,49.76847,0.57601
3.73955,49.44054,0.67424
3.75906,49.28616,0.77278
3.77221,49.16985,0.87102
3.76295,49.16995,0.96831
3.75076,49.19099,1.06664
3.74445,49.21130,1.16513
3.73631,49.20339,1.26360
3.73651,49.21502,1.36222
3.74451,49.23950,1.46333
3.76429,49.40785,1.56175
3.75457,50.33336,1.66027
3.72956,50.66701,1.75850
3.74211,50.63410,1.85702
3.74496,50.70123,1.95546
3.75659,50.64437,2.05369
3.77511,50.57831,2.15215
3.78179,50.56549,2.25049
3.78558,50.56165,2.34883
3.77958,50.59549,2.44716
3.77692,50.60565,2.54552
3.77537,50.61569,2.64368
3.76409,50.68871,2.74223
3.75830,50.71061,2.84063
3.75758,50.71718,2.93899
3.74786,50.78216,3.03738
3.72779,50.96965,3.13573
3.71728,50.99089,3.23302
3.72435,50.95527,3.33254
3.72924,50.89558,3.43066
3.73637,50.80767,3.52913
3.75269,50.48030,3.62759
3.79620,49.73109,3.72575
3.83970,49.29633,3.82427
3.85605,49.07490,3.92143
3.84417,49.06447,4.01980
3.83670,49.07534,4.11860
3.83770,49.06460,4.21953
3.84057,49.06138,4.31807
3.84246,49.03941,4.41640
3.84520,49.05382,4.51489
3.84356,49.09315,4.61318
3.83555,49.39894,4.71166
3.80677,49.76368,4.81014
3.81181,49.71910,4.90854
3.81907,49.70573,5.00680
3.82504,49.69472,5.10527
3.82545,49.57942,5.20362
3.83726,49.42582,5.30197
3.84531,49.37975,5.40034
3.83958,49.38692,5.49877
3.83862,49.38908,5.59659
3.84070,49.40372,5.69533
3.84135,49.39412,5.79382
3.84118,49.39124,5.89223
3.83961,49.45337,5.99052
3.83081,49.70301,6.08825
3.78381,50.19790,6.18625
3.76351,50.29037,6.28562
3.77167,50.32511,6.38400
3.77150,50.34953,6.48231
3.77360,50.33586,6.58070
3.77550,50.31776,6.67921
3.78593,50.20733,6.77737
3.81339,49.92920,6.87446
3.81552,49.92276,6.97594
3.81316,49.97683,7.07450
3.80494,50.00705,7.17305
3.80746,50.01611,7.27112
3.80693,50.00483,7.36974
3.80585,50.04345,7.46808
3.79479,50.14604,7.56644
3.78383,50.23981,7.66481
3.77245,50.32394,7.76322
3.76675,50.34918,7.86164
3.76573,50.39175,7.96018
3.75852,50.43253,8.05855
3.75817,50.42376,8.15681
3.76003,50.41413,8.25506
3.75909,50.41124,8.35351
3.76085,50.39637,8.45183
3.77999,50.00691,8.55005
3.83631,49.55407,8.64802
3.85003,49.30622,8.74696
3.85255,49.23187,8.84525
3.84634,49.24456,8.94363
3.84636,49.31137,9.04098
3.84063,49.49941,9.14003
3.82857,49.63282,9.23869
3.82171,49.65885,9.33685
3.82564,49.66665,9.43538
3.82372,49.64800,9.53361
3.82830,49.62840,9.63212
3.82113,49.63652,9.72915
3.82295,49.67396,9.83070
3.82444,49.63619,9.92934
3.82175,49.77886,10.02745
3.80685,49.95466,10.12587
3.80526,49.95140,10.22421
3.79823,49.99942,10.32283
3.80257,49.99983,10.42123
3.80591,49.93695,10.51918
3.82136,49.72908,10.61792
3.82358,49.68773,10.71623
3.82313,49.71732,10.81481
3.81621,49.77520,10.91306
3.81206,49.79256,11.01152
3.81480,49.78377,11.10989
3.81165,49.78113,11.20822
3.81446,49.75934,11.30663
3.80777,49.86480,11.40496
3.78575,50.19744,11.50338
3.72505,50.91323,11.60149
3.66232,51.61797,11.69991
3.62085,52.02539,11.79843
3.60442,52.14762,11.89683
3.60023,52.27529,11.99403
3.60039,52.27159,12.09330
3.59250,52.27048,12.19178
3.60732,51.71714,12.29019
3.63490,51.50214,12.38848
3.68371,50.83564,12.48686
3.75350,50.36269,12.58746
3.74803,50.50081,12.68545
3.73072,50.59824,12.78379
3.71263,50.74647,12.88255
3.69230,50.96594,12.98070
3.67578,51.12278,13.07897
3.66598,51.19783,13.17757
3.66321,51.19935,13.27596
3.66392,51.17881,13.37407
3.66586,51.16564,13.47266
3.66711,51.16169,13.57109
3.66511,51.12551,13.66935
3.66900,51.07965,13.76794
3.67110,51.05890,13.86632
3.70131,50.55567,13.96470
3.76718,50.14570,14.06300
3.77899,50.10671,14.16126
3.75926,50.32601,14.25941
3.71464,50.79780,14.35789
3.66942,51.10034,14.45631
3.64736,51.26810,14.55478
3.64332,51.25543,14.65323
3.65152,51.15363,14.75174
3.66270,51.00409,14.84871
3.67533,50.95923,14.94760
3.67346,50.96677,15.04661
3.66882,50.97603,15.14499
3.66364,51.04881,15.24325
3.65326,51.13364,15.34153
3.64256,51.25009,15.44242
3.62758,51.32703,15.54019
3.61719,51.35711,15.63854
3.61741,51.36613,15.73705
3.61343,51.38284,15.83537
3.61267,51.38785,15.93372
3.60937,51.37536,16.03220
3.60997,51.28761,16.13077
3.63236,50.87628,16.22907
3.66422,50.57788,16.32752
3.68781,50.40437,16.42573
3.70296,50.21931,16.52426
3.71334,50.12879,16.62262
3.72220,50.10164,16.72098
3.72394,50.11449,16.81944
3.72177,50.11835,16.91786
3.71884,50.11950,17.01623
3.72630,50.05685,17.11456
3.72559,50.10106,17.21294
3.71283,50.34532,17.31151
3.68009,50.58659,17.40965
3.66775,50.64498,17.50803
3.66516,50.70449,17.60626
3.66256,50.70135,17.70473
3.66380,50.69340,17.80185
3.66510,50.67702,17.90147
3.66833,50.65111,17.99973
3.67235,50.58733,18.10052
3.68422,50.51220,18.19894
3.68645,50.58066,18.29729
3.66711,50.78320,18.39562
3.64827,50.89996,18.49339
3.64115,50.93499,18.59168
3.63996,50.98050,18.69004
3.63921,50.97315,18.78870
3.63939,50.94994,18.88694
3.64058,50.90798,18.98544
3.64372,50.89540,19.08400
3.64859,50.73762,19.18237
3.70121,50.26329,19.28072
3.73827,49.90399,19.37906
3.76188,49.71920,19.47746
3.77040,49.62876,19.57594
3.76760,49.57363,19.67432
3.77041,49.50809,19.77279
3.77647,49.43943,19.87105
3.78402,49.40483,19.96941
3.78759,49.39445,20.06781
3.78402,49.39133,20.16623
3.78592,49.39040,20.26399
3.78615,49.40412,20.36281
3.78099,49.42924,20.46127
3.77648,49.43677,20.55958
3.77754,49.44603,20.65786
3.77890,49.77081,20.75505
3.74031,50.02924,20.85697
3.72137,50.18377,20.95534
3.70842,50.29313,21.05367
3.71262,50.30494,21.15196
3.72250,50.20348,21.25042
3.75108,49.96304,21.34874
3.76528,49.95391,21.44647
3.76220,49.96517,21.54484
3.76113,49.91255,21.64349
3.77008,49.86177,21.74202
3.77096,49.84653,21.84012
3.77036,49.84196,21.93851
3.76793,49.81959,22.03715
3.76676,49.84788,22.13559
3.77171,49.84236,22.23386
3.76874,49.84071,22.33198
3.76648,49.85421,22.43063
3.77320,49.81626,22.52903
3.78224,49.65788,22.62752
3.79479,49.40736,22.72591
3.80385,49.23421,22.82427
3.79977,49.14726,22.92263
3.79214,49.16318,23.02038
3.79300,49.18895,23.11930
3.79356,49.19669,23.21771
3.79635,49.19901,23.31606
3.79319,49.21370,23.41433
3.78963,49.29511,23.51261
3.78820,49.47353,23.61295
3.78002,49.55506,23.71135
3.78267,49.43952,23.81019
3.79842,49.27186,23.90855
3.80156,49.15856,24.00692
3.80775,49.06857,24.10525
3.80219,49.00657,24.20364
3.78911,49.02297,24.30142
3.79072,49.06289,24.39965
3.79118,49.09587,24.49799
3.78606,49.14076,24.59651
3.78597,49.18223,24.69521
3.80168,49.39067,24.79336
3.79191,49.60720,24.89192
3.79390,49.70716,24.99027
3.79287,49.70215,25.08864
3.79281,49.70064,25.18696
3.79264,49.65819,25.28534
3.80550,49.47046,25.38374
3.81196,49.41414,25.48247
3.81288,49.43224,25.58065
3.80603,49.43767,25.67933
3.80340,49.50230,25.77734
3.80484,49.53569,25.87580
3.80455,49.53171,25.97346
3.80404,49.50951,26.07231
3.80529,49.50285,26.17054
3.80467,49.50086,26.26911
3.80402,49.52126,26.36735
3.80737,49.60438,26.46832
3.77813,49.88131,26.56599
3.73777,50.45439,26.66450
3.67496,51.34032,26.76327
3.60612,52.20810,26.86163
3.58094,52.48943,26.95997
3.57758,52.60883,27.05833
